Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",-0.2920,6.7751,90.0000,bottom
"C2","10uF","C_0603_1608Metric",6.7900,6.5251,90.0000,bottom
"C3","10uF","C_0603_1608Metric",-14.9860,1.2700,180.0000,bottom
"C4","100nF","C_0603_1608Metric",-14.0420,7.4251,180.0000,bottom
"C5","100nF","C_0603_1608Metric",-4.3434,3.3753,-90.0000,bottom
"C6","100nF","C_0603_1608Metric",4.3000,-7.0000,-90.0000,bottom
"D1","BZX585-B5V6.115","D_SOD-523",-14.9860,-1.0160,180.0000,bottom
"D2","LED RED","LED_1206_2",0.0000,-7.0000,0.0000,bottom
"D3","LED GREEN","LED_1206_2",-10.0000,-7.0000,0.0000,bottom
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-18.4380,4.8061,90.0000,bottom
"J3","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-18.4380,-4.7689,90.0000,bottom
"R1","22k","R_0805_2012Metric",9.0080,6.5251,-90.0000,bottom
"R2","82R","R_0805_2012Metric",4.5720,6.5251,90.0000,bottom
"R3","10k","R_0603_1608Metric",-10.7420,7.4251,180.0000,bottom
"R4","51R","R_0603_1608Metric",-4.0640,-7.1120,-90.0000,bottom
"R5","130R","R_0603_1608Metric",-6.0960,-7.1120,90.0000,bottom
"R10","10k","R_0603_1608Metric",-7.4420,7.4251,180.0000,bottom
"U1","PCF8583","SOT176-1",-9.2920,0.7620,180.0000,bottom
"U2","SN74LVC1G14-Q1","SOT-353_SC-70-5",7.1120,-6.8609,-90.0000,bottom
"U3","MIC5504-3.3YM5","SOT-23-5",-3.5420,6.6751,0.0000,bottom
